"taxa1","taxa2","value"
"OTU_97.31553","OTU_97.152",0.947916666666667
"OTU_97.29794","OTU_97.43210",0.946453168044077
"OTU_97.23396","OTU_97.118",0.946022727272727
"OTU_97.186","OTU_97.1779",0.941632231404959
"OTU_97.24025","OTU_97.154",0.93844696969697
"OTU_97.5474","OTU_97.510",0.9375
"OTU_97.86","OTU_97.16034",0.93655303030303
"OTU_97.266","OTU_97.15337",0.93646694214876
"OTU_97.15133","OTU_97.43023",0.93629476584022
"OTU_97.43637","OTU_97.951",0.933712121212121
"OTU_97.1201","OTU_97.5474",0.932679063360882
"OTU_97.401","OTU_97.158",0.929924242424242
"OTU_97.34371","OTU_97.13450",0.928977272727273
"OTU_97.43637","OTU_97.18018",0.928632920110193
"OTU_97.86","OTU_97.13936",0.926308539944904
"OTU_97.34683","OTU_97.38931",0.926136363636364
"OTU_97.37599","OTU_97.37902",0.925189393939394
"OTU_97.38818","OTU_97.11972",0.922348484848485
"OTU_97.9316","OTU_97.951",0.921918044077135
"OTU_97.951","OTU_97.43023",0.921401515151515
"OTU_97.43425","OTU_97.6433",0.920454545454545
"OTU_97.38931","OTU_97.39459",0.919507575757576
"OTU_97.18018","OTU_97.43023",0.917699724517906
"OTU_97.24475","OTU_97.29803",0.917613636363636
"OTU_97.5561","OTU_97.57",0.916150137741047
"OTU_97.951","OTU_97.12419",0.913481404958678
"OTU_97.43637","OTU_97.43023",0.912964876033058
"OTU_97.33220","OTU_97.121",0.912878787878788
"OTU_97.24475","OTU_97.35176",0.911070936639118
"OTU_97.14","OTU_97.5474",0.910984848484849
"OTU_97.34371","OTU_97.73",0.910984848484849
"OTU_97.38958","OTU_97.34",0.910726584022039
"OTU_97.25475","OTU_97.37368",0.910382231404959
"OTU_97.5287","OTU_97.57",0.910037878787879
"OTU_97.35176","OTU_97.38931",0.909090909090909
"OTU_97.29803","OTU_97.39459",0.909090909090909
"OTU_97.39171","OTU_97.1201",0.909004820936639
"OTU_97.12419","OTU_97.43023",0.908574380165289
"OTU_97.29803","OTU_97.38931",0.908230027548209
"OTU_97.39171","OTU_97.510",0.90642217630854
"OTU_97.37","OTU_97.12279",0.90625
"OTU_97.37","OTU_97.36155",0.90435606060606
"OTU_97.26883","OTU_97.13522",0.904269972451791
"OTU_97.37902","OTU_97.39144",0.903839531680441
"OTU_97.38273","OTU_97.57",0.903409090909091
"OTU_97.14","OTU_97.10385",0.902462121212121
"OTU_97.29803","OTU_97.35176",0.901515151515151
"OTU_97.37","OTU_97.6625",0.901515151515151
"OTU_97.6625","OTU_97.16529",0.900998622589532
"OTU_97.40762","OTU_97.14259",0.900740358126722
"OTU_97.34683","OTU_97.35176",0.898674242424242
"OTU_97.2297","OTU_97.7287",0.898329889807163
"OTU_97.37","OTU_97.34703",0.897727272727273
"OTU_97.14","OTU_97.510",0.896780303030303
"OTU_97.24475","OTU_97.38931",0.896091597796143
"OTU_97.1201","OTU_97.10385",0.895661157024793
"OTU_97.43637","OTU_97.12419",0.894886363636364
"OTU_97.34780","OTU_97.39171",0.892045454545455
"OTU_97.5474","OTU_97.10385",0.892045454545455
"OTU_97.32588","OTU_97.37902",0.891098484848485
"OTU_97.43637","OTU_97.15133",0.891098484848485
"OTU_97.86","OTU_97.43213",0.890151515151515
"OTU_97.40762","OTU_97.59",0.889548898071625
"OTU_97.144","OTU_97.184",0.888343663911846
"OTU_97.25475","OTU_97.734",0.888257575757576
"OTU_97.37599","OTU_97.39144",0.888171487603306
"OTU_97.28399","OTU_97.24927",0.887310606060606
"OTU_97.34683","OTU_97.39459",0.887310606060606
"OTU_97.39171","OTU_97.10385",0.887310606060606
"OTU_97.34925","OTU_97.20215",0.886794077134986
"OTU_97.29574","OTU_97.14",0.886535812672176
"OTU_97.16695","OTU_97.28399",0.886363636363636
"OTU_97.24927","OTU_97.7657",0.884641873278237
"OTU_97.9982","OTU_97.14",0.884469696969697
"OTU_97.37903","OTU_97.57",0.883522727272727
"OTU_97.24636","OTU_97.24475",0.883522727272727
"OTU_97.24636","OTU_97.29803",0.883178374655647
"OTU_97.16034","OTU_97.43213",0.883178374655647
"OTU_97.24809","OTU_97.34703",0.882575757575758
"OTU_97.34925","OTU_97.11972",0.881628787878788
"OTU_97.211","OTU_97.35940",0.880509641873278
"OTU_97.32588","OTU_97.37599",0.879734848484849
"OTU_97.33687","OTU_97.37902",0.877840909090909
"OTU_97.16695","OTU_97.7657",0.877668732782369
"OTU_97.43425","OTU_97.12419",0.877410468319559
"OTU_97.24168","OTU_97.1681",0.87689393939394
"OTU_97.28399","OTU_97.29803",0.87594696969697
"OTU_97.15337","OTU_97.155",0.875
"OTU_97.57","OTU_97.4859",0.87456955922865
"OTU_97.951","OTU_97.15133",0.87431129476584
"OTU_97.34780","OTU_97.14",0.87405303030303
"OTU_97.43637","OTU_97.9316",0.87405303030303
"OTU_97.13820","OTU_97.41441",0.87405303030303
"OTU_97.10428","OTU_97.33220",0.87345041322314
"OTU_97.38931","OTU_97.14",0.87336432506887
"OTU_97.13820","OTU_97.20597",0.872847796143251
"OTU_97.24870","OTU_97.25475",0.872159090909091
"OTU_97.16695","OTU_97.510",0.872159090909091
"OTU_97.32087","OTU_97.121",0.871298209366391
"OTU_97.34925","OTU_97.38931",0.870609504132231
"OTU_97.14116","OTU_97.33220",0.870265151515151
"OTU_97.10619","OTU_97.57",0.869318181818182
"OTU_97.7657","OTU_97.38931",0.869318181818182
"OTU_97.510","OTU_97.10385",0.868371212121212
"OTU_97.43632","OTU_97.40762",0.868371212121212
"OTU_97.34683","OTU_97.14",0.867424242424242
"OTU_97.1201","OTU_97.510",0.866907713498623
"OTU_97.24636","OTU_97.10938",0.866477272727273
"OTU_97.12279","OTU_97.34703",0.866477272727273
"OTU_97.39171","OTU_97.5474",0.866305096418733
"OTU_97.37903","OTU_97.5287",0.864583333333333
"OTU_97.24870","OTU_97.34925",0.864583333333333
"OTU_97.39171","OTU_97.14",0.864583333333333
"OTU_97.86","OTU_97.25986",0.864583333333333
"OTU_97.13820","OTU_97.33897",0.863636363636364
"OTU_97.37903","OTU_97.5561",0.861742424242424
"OTU_97.34925","OTU_97.734",0.861742424242424
"OTU_97.5785","OTU_97.121",0.861139807162534
"OTU_97.33687","OTU_97.37599",0.860795454545455
"OTU_97.7287","OTU_97.25475",0.860795454545455
"OTU_97.1201","OTU_97.28280",0.860451101928375
"OTU_97.1656","OTU_97.37599",0.860192837465565
"OTU_97.24475","OTU_97.39459",0.860020661157025
"OTU_97.22576","OTU_97.34703",0.859245867768595
"OTU_97.28399","OTU_97.7657",0.858901515151515
"OTU_97.12279","OTU_97.13004",0.858901515151515
"OTU_97.34703","OTU_97.2464",0.858212809917355
"OTU_97.10619","OTU_97.27041",0.857179752066116
"OTU_97.27041","OTU_97.57",0.857007575757576
"OTU_97.34703","OTU_97.29005",0.856835399449036
"OTU_97.5474","OTU_97.28280",0.856060606060606
"OTU_97.11972","OTU_97.10385",0.855802341597796
"OTU_97.86","OTU_97.34765",0.855544077134986
"OTU_97.15869","OTU_97.37599",0.855113636363636
"OTU_97.35176","OTU_97.39459",0.855113636363636
"OTU_97.30556","OTU_97.26883",0.855113636363636
"OTU_97.9316","OTU_97.43023",0.855113636363636
"OTU_97.14926","OTU_97.34703",0.853908402203857
"OTU_97.43213","OTU_97.13936",0.853564049586777
"OTU_97.15271","OTU_97.10619",0.853305785123967
"OTU_97.7475","OTU_97.2297",0.853219696969697
"OTU_97.12279","OTU_97.36155",0.852703168044077
"OTU_97.25475","OTU_97.34925",0.852014462809917
"OTU_97.39984","OTU_97.43210",0.851325757575758
"OTU_97.9451","OTU_97.40762",0.851325757575758
"OTU_97.29803","OTU_97.34925",0.851239669421488
"OTU_97.7287","OTU_97.11972",0.850292699724518
"OTU_97.29561","OTU_97.24475",0.849259641873278
"OTU_97.16695","OTU_97.5474",0.848657024793388
"OTU_97.28399","OTU_97.34683",0.847882231404959
"OTU_97.34925","OTU_97.38818",0.847537878787879
"OTU_97.1656","OTU_97.37902",0.846849173553719
"OTU_97.24636","OTU_97.25475",0.846590909090909
"OTU_97.13450","OTU_97.73",0.846590909090909
"OTU_97.35852","OTU_97.38931",0.846504820936639
"OTU_97.34683","OTU_97.29803",0.84564393939394
"OTU_97.10428","OTU_97.121",0.84564393939394
"OTU_97.39984","OTU_97.43632",0.84538567493113
"OTU_97.32087","OTU_97.33220",0.84504132231405
"OTU_97.25475","OTU_97.824",0.84375
"OTU_97.43425","OTU_97.18018",0.84375
"OTU_97.43210","OTU_97.43632",0.84357782369146
"OTU_97.29561","OTU_97.38931",0.84280303030303
"OTU_97.38720","OTU_97.39171",0.84280303030303
"OTU_97.39984","OTU_97.29794",0.84280303030303
"OTU_97.35176","OTU_97.5474",0.841597796143251
"OTU_97.37987","OTU_97.11972",0.841597796143251
"OTU_97.37","OTU_97.2464",0.841511707988981
"OTU_97.43210","OTU_97.40762",0.841511707988981
"OTU_97.14116","OTU_97.121",0.841425619834711
"OTU_97.34925","OTU_97.29317",0.840909090909091
"OTU_97.7657","OTU_97.39459",0.840306473829201
"OTU_97.29794","OTU_97.30556",0.839531680440771
"OTU_97.57","OTU_97.2918",0.839015151515151
"OTU_97.43210","OTU_97.59",0.839015151515151
"OTU_97.86","OTU_97.25028",0.839015151515151
"OTU_97.13004","OTU_97.16539",0.838584710743802
"OTU_97.43425","OTU_97.43023",0.838068181818182
"OTU_97.15271","OTU_97.57",0.837121212121212
"OTU_97.12279","OTU_97.16529",0.837121212121212
"OTU_97.41577","OTU_97.26863",0.837121212121212
"OTU_97.24475","OTU_97.10938",0.836862947658402
"OTU_97.36155","OTU_97.16529",0.836604683195592
"OTU_97.24475","OTU_97.35852",0.836174242424242
"OTU_97.34925","OTU_97.39171",0.836174242424242
"OTU_97.10089","OTU_97.57",0.835829889807163
"OTU_97.11641","OTU_97.86",0.835657713498623
"OTU_97.37","OTU_97.13004",0.834796831955923
"OTU_97.14","OTU_97.28280",0.834280303030303
"OTU_97.25475","OTU_97.38818",0.834280303030303
"OTU_97.14116","OTU_97.10428",0.834108126721763
"OTU_97.15190","OTU_97.184",0.832386363636364
"OTU_97.43210","OTU_97.30556",0.832386363636364
"OTU_97.35852","OTU_97.39171",0.832300275482094
"OTU_97.1693","OTU_97.30088",0.832042011019284
"OTU_97.13820","OTU_97.170",0.831611570247934
"OTU_97.37","OTU_97.16529",0.831439393939394
"OTU_97.26863","OTU_97.28027",0.831439393939394
"OTU_97.11659","OTU_97.33220",0.829889807162534
