"taxa1","taxa2","value"
"OTU_97.42522","OTU_97.720",0.96969696969697
"OTU_97.18018","OTU_97.12419",0.965909090909091
"OTU_97.23396","OTU_97.118",0.95959595959596
"OTU_97.13004","OTU_97.16539",0.958448117539027
"OTU_97.32087","OTU_97.14116",0.958333333333333
"OTU_97.29561","OTU_97.35852",0.955808080808081
"OTU_97.1397","OTU_97.24025",0.954545454545455
"OTU_97.18018","OTU_97.15133",0.954545454545455
"OTU_97.9982","OTU_97.5474",0.953282828282828
"OTU_97.29794","OTU_97.43210",0.953282828282828
"OTU_97.40762","OTU_97.14259",0.950987144168962
"OTU_97.30556","OTU_97.7542",0.950757575757576
"OTU_97.31553","OTU_97.152",0.950757575757576
"OTU_97.5785","OTU_97.14116",0.948232323232323
"OTU_97.34780","OTU_97.1201",0.946854912764004
"OTU_97.37599","OTU_97.37902",0.945707070707071
"OTU_97.9316","OTU_97.951",0.945707070707071
"OTU_97.15133","OTU_97.43023",0.945707070707071
"OTU_97.5561","OTU_97.57",0.941919191919192
"OTU_97.34683","OTU_97.38931",0.941919191919192
"OTU_97.5474","OTU_97.510",0.941115702479339
"OTU_97.401","OTU_97.158",0.940886134067952
"OTU_97.24025","OTU_97.154",0.93939393939394
"OTU_97.1201","OTU_97.5474",0.93939393939394
"OTU_97.43637","OTU_97.18018",0.93939393939394
"OTU_97.9316","OTU_97.12419",0.93939393939394
"OTU_97.19163","OTU_97.33220",0.938131313131313
"OTU_97.29803","OTU_97.39459",0.936868686868687
"OTU_97.43637","OTU_97.951",0.936868686868687
"OTU_97.266","OTU_97.15337",0.93560606060606
"OTU_97.38818","OTU_97.11972",0.93560606060606
"OTU_97.24475","OTU_97.29803",0.934343434343434
"OTU_97.29794","OTU_97.43632",0.934228650137741
"OTU_97.6625","OTU_97.16529",0.933310376492195
"OTU_97.38931","OTU_97.39459",0.933080808080808
"OTU_97.34371","OTU_97.13450",0.933080808080808
"OTU_97.16034","OTU_97.43213",0.933080808080808
"OTU_97.12419","OTU_97.15133",0.932506887052342
"OTU_97.951","OTU_97.43023",0.931818181818182
"OTU_97.186","OTU_97.1779",0.930555555555556
"OTU_97.7657","OTU_97.4800",0.930096418732782
"OTU_97.37987","OTU_97.24870",0.929292929292929
"OTU_97.11972","OTU_97.10385",0.928030303030303
"OTU_97.86","OTU_97.16034",0.924242424242424
"OTU_97.86","OTU_97.13936",0.922979797979798
"OTU_97.24475","OTU_97.35176",0.921717171717172
"OTU_97.29803","OTU_97.38931",0.921717171717172
"OTU_97.37","OTU_97.12279",0.921717171717172
"OTU_97.18018","OTU_97.43023",0.919651056014692
"OTU_97.38818","OTU_97.10385",0.919191919191919
"OTU_97.9316","OTU_97.15133",0.918503213957759
"OTU_97.28280","OTU_97.8409",0.917929292929293
"OTU_97.12279","OTU_97.41577",0.917929292929293
"OTU_97.43425","OTU_97.6433",0.917929292929293
"OTU_97.25475","OTU_97.37368",0.915863177226814
"OTU_97.24809","OTU_97.6625",0.91574839302112
"OTU_97.16695","OTU_97.7657",0.91540404040404
"OTU_97.24927","OTU_97.7657",0.91540404040404
"OTU_97.34683","OTU_97.35176",0.91540404040404
"OTU_97.35176","OTU_97.38931",0.91540404040404
"OTU_97.39171","OTU_97.1201",0.91540404040404
"OTU_97.43637","OTU_97.43023",0.91540404040404
"OTU_97.951","OTU_97.12419",0.915174471992654
"OTU_97.32588","OTU_97.39144",0.914141414141414
"OTU_97.5287","OTU_97.57",0.914141414141414
"OTU_97.2297","OTU_97.7287",0.914141414141414
"OTU_97.1201","OTU_97.510",0.914141414141414
"OTU_97.37","OTU_97.36155",0.914141414141414
"OTU_97.34371","OTU_97.73",0.914141414141414
"OTU_97.9451","OTU_97.43210",0.914141414141414
