"taxa1","taxa2","value"
"OTU_97.31553","OTU_97.152",0.946711432506887
"OTU_97.23396","OTU_97.118",0.945850550964187
"OTU_97.29794","OTU_97.43210",0.943612258953168
"OTU_97.5474","OTU_97.510",0.939738292011019
"OTU_97.24025","OTU_97.154",0.934659090909091
"OTU_97.86","OTU_97.16034",0.934659090909091
"OTU_97.401","OTU_97.158",0.934573002754821
"OTU_97.15133","OTU_97.43023",0.933712121212121
"OTU_97.186","OTU_97.1779",0.931990358126722
"OTU_97.1201","OTU_97.5474",0.931387741046832
"OTU_97.266","OTU_97.15337",0.930268595041322
"OTU_97.43637","OTU_97.951",0.929924242424242
"OTU_97.86","OTU_97.13936",0.928202479338843
"OTU_97.43637","OTU_97.18018",0.928030303030303
"OTU_97.34683","OTU_97.38931",0.927083333333333
"OTU_97.37599","OTU_97.37902",0.924242424242424
"OTU_97.34371","OTU_97.13450",0.923295454545455
"OTU_97.38818","OTU_97.11972",0.922348484848485
"OTU_97.951","OTU_97.43023",0.921401515151515
"OTU_97.24475","OTU_97.29803",0.915719696969697
"OTU_97.38958","OTU_97.34",0.914772727272727
"OTU_97.38931","OTU_97.39459",0.914686639118457
"OTU_97.14","OTU_97.5474",0.914600550964187
"OTU_97.5561","OTU_97.57",0.914256198347107
"OTU_97.24475","OTU_97.35176",0.913825757575758
"OTU_97.18018","OTU_97.43023",0.912878787878788
"OTU_97.37902","OTU_97.39144",0.911415289256198
"OTU_97.29803","OTU_97.39459",0.910123966942149
"OTU_97.37","OTU_97.12279",0.910037878787879
"OTU_97.9316","OTU_97.951",0.909951790633609
"OTU_97.25475","OTU_97.37368",0.909090909090909
"OTU_97.43425","OTU_97.6433",0.908918732782369
"OTU_97.35176","OTU_97.38931",0.90719696969697
"OTU_97.39171","OTU_97.1201",0.90719696969697
"OTU_97.951","OTU_97.12419",0.9071108815427
"OTU_97.38273","OTU_97.57",0.90625
"OTU_97.29803","OTU_97.38931",0.90625
"OTU_97.34371","OTU_97.73",0.90581955922865
"OTU_97.37","OTU_97.36155",0.90564738292011
"OTU_97.5287","OTU_97.57",0.90530303030303
"OTU_97.33220","OTU_97.121",0.90530303030303
"OTU_97.34683","OTU_97.35176",0.903495179063361
"OTU_97.14","OTU_97.10385",0.903409090909091
"OTU_97.29803","OTU_97.35176",0.901515151515151
"OTU_97.37","OTU_97.6625",0.901429063360882
"OTU_97.40762","OTU_97.14259",0.900482093663912
"OTU_97.32588","OTU_97.37902",0.899621212121212
"OTU_97.12419","OTU_97.43023",0.899449035812672
"OTU_97.39171","OTU_97.510",0.898932506887052
"OTU_97.43637","OTU_97.43023",0.898674242424242
"OTU_97.34780","OTU_97.39171",0.898415977961432
"OTU_97.43637","OTU_97.15133",0.897641184573003
"OTU_97.24475","OTU_97.38931",0.897124655647383
"OTU_97.2297","OTU_97.7287",0.895833333333333
"OTU_97.37","OTU_97.34703",0.895833333333333
"OTU_97.26883","OTU_97.13522",0.895833333333333
"OTU_97.43637","OTU_97.12419",0.895833333333333
"OTU_97.14","OTU_97.510",0.894886363636364
"OTU_97.9982","OTU_97.14",0.894714187327824
"OTU_97.34925","OTU_97.20215",0.894111570247934
"OTU_97.37599","OTU_97.39144",0.893939393939394
"OTU_97.1201","OTU_97.10385",0.891787190082645
"OTU_97.5474","OTU_97.10385",0.890151515151515
"OTU_97.29574","OTU_97.14",0.889979338842975
"OTU_97.144","OTU_97.184",0.889204545454545
"OTU_97.16695","OTU_97.28399",0.889204545454545
"OTU_97.39171","OTU_97.10385",0.889204545454545
"OTU_97.25475","OTU_97.734",0.888257575757576
"OTU_97.86","OTU_97.43213",0.888257575757576
"OTU_97.33687","OTU_97.37902",0.886880165289256
"OTU_97.32588","OTU_97.37599",0.886363636363636
"OTU_97.34683","OTU_97.39459",0.886363636363636
"OTU_97.6625","OTU_97.16529",0.885588842975207
"OTU_97.28399","OTU_97.24927",0.885416666666667
"OTU_97.24927","OTU_97.7657",0.885416666666667
"OTU_97.24809","OTU_97.34703",0.885244490358127
"OTU_97.43637","OTU_97.9316",0.884469696969697
"OTU_97.211","OTU_97.35940",0.883436639118457
"OTU_97.40762","OTU_97.59",0.881628787878788
"OTU_97.34780","OTU_97.14",0.879734848484849
"OTU_97.24168","OTU_97.1681",0.879132231404959
"OTU_97.43425","OTU_97.12419",0.878787878787879
"OTU_97.24636","OTU_97.24475",0.877926997245179
"OTU_97.16695","OTU_97.7657",0.877840909090909
"OTU_97.24636","OTU_97.29803",0.877840909090909
"OTU_97.34925","OTU_97.11972",0.87689393939394
"OTU_97.37903","OTU_97.57",0.87594696969697
"OTU_97.15337","OTU_97.155",0.87534435261708
"OTU_97.57","OTU_97.4859",0.87405303030303
"OTU_97.7657","OTU_97.38931",0.87405303030303
"OTU_97.10428","OTU_97.33220",0.87405303030303
"OTU_97.33687","OTU_97.37599",0.87310606060606
"OTU_97.38931","OTU_97.14",0.87310606060606
"OTU_97.13820","OTU_97.20597",0.872503443526171
"OTU_97.24870","OTU_97.25475",0.871212121212121
"OTU_97.13820","OTU_97.41441",0.871212121212121
"OTU_97.34925","OTU_97.38931",0.870781680440771
"OTU_97.28399","OTU_97.29803",0.870265151515151
"OTU_97.22576","OTU_97.34703",0.870265151515151
"OTU_97.39171","OTU_97.5474",0.868801652892562
"OTU_97.951","OTU_97.15133",0.868457300275482
"OTU_97.10619","OTU_97.57",0.868371212121212
"OTU_97.12279","OTU_97.34703",0.868026859504132
"OTU_97.1201","OTU_97.510",0.866993801652893
"OTU_97.28399","OTU_97.7657",0.866477272727273
"OTU_97.39171","OTU_97.14",0.866477272727273
"OTU_97.510","OTU_97.10385",0.866477272727273
"OTU_97.43632","OTU_97.40762",0.866477272727273
"OTU_97.86","OTU_97.25986",0.866477272727273
"OTU_97.14116","OTU_97.33220",0.865530303030303
"OTU_97.13820","OTU_97.33897",0.865530303030303
"OTU_97.32087","OTU_97.121",0.865013774104683
"OTU_97.35176","OTU_97.39459",0.864583333333333
"OTU_97.24870","OTU_97.34925",0.864238980716253
"OTU_97.9316","OTU_97.43023",0.863636363636364
"OTU_97.37903","OTU_97.5287",0.862689393939394
"OTU_97.11972","OTU_97.10385",0.861828512396694
"OTU_97.37903","OTU_97.5561",0.861742424242424
"OTU_97.34925","OTU_97.734",0.861742424242424
"OTU_97.16034","OTU_97.43213",0.861656336088154
"OTU_97.24636","OTU_97.10938",0.861311983471074
"OTU_97.1656","OTU_97.37599",0.860967630853995
"OTU_97.16695","OTU_97.510",0.860795454545455
"OTU_97.34703","OTU_97.29005",0.860795454545455
"OTU_97.7287","OTU_97.25475",0.860451101928375
"OTU_97.34683","OTU_97.14",0.860192837465565
"OTU_97.34683","OTU_97.29803",0.859848484848485
