"taxa1","taxa2","value"
"OTU_97.31553","OTU_97.152",0.944473140495868
"OTU_97.23396","OTU_97.118",0.944042699724518
"OTU_97.29794","OTU_97.43210",0.941632231404959
"OTU_97.5474","OTU_97.510",0.93879132231405
"OTU_97.86","OTU_97.16034",0.93844696969697
"OTU_97.24025","OTU_97.154",0.93560606060606
"OTU_97.15133","OTU_97.43023",0.932592975206612
"OTU_97.401","OTU_97.158",0.931818181818182
"OTU_97.43637","OTU_97.951",0.931646005509642
"OTU_97.266","OTU_97.15337",0.930526859504132
"OTU_97.86","OTU_97.13936",0.930182506887052
"OTU_97.186","OTU_97.1779",0.930010330578512
"OTU_97.37599","OTU_97.37902",0.927083333333333
"OTU_97.1201","OTU_97.5474",0.924242424242424
"OTU_97.34371","OTU_97.13450",0.923295454545455
"OTU_97.34683","OTU_97.38931",0.921401515151515
"OTU_97.43637","OTU_97.18018",0.921401515151515
"OTU_97.38818","OTU_97.11972",0.919507575757576
"OTU_97.951","OTU_97.43023",0.915719696969697
"OTU_97.38931","OTU_97.39459",0.915117079889807
"OTU_97.24475","OTU_97.29803",0.914084022038568
"OTU_97.14","OTU_97.5474",0.912878787878788
"OTU_97.5561","OTU_97.57",0.912706611570248
"OTU_97.38958","OTU_97.34",0.912103994490358
"OTU_97.18018","OTU_97.43023",0.909865702479339
"OTU_97.24475","OTU_97.35176",0.909090909090909
"OTU_97.43425","OTU_97.6433",0.909090909090909
"OTU_97.9316","OTU_97.951",0.908918732782369
"OTU_97.37902","OTU_97.39144",0.90719696969697
"OTU_97.38273","OTU_97.57",0.90719696969697
"OTU_97.37","OTU_97.12279",0.90659435261708
"OTU_97.34371","OTU_97.73",0.90625
"OTU_97.29803","OTU_97.39459",0.90581955922865
"OTU_97.29803","OTU_97.38931",0.90573347107438
"OTU_97.33220","OTU_97.121",0.90530303030303
"OTU_97.35176","OTU_97.38931",0.90435606060606
"OTU_97.25475","OTU_97.37368",0.903667355371901
"OTU_97.37","OTU_97.36155",0.903236914600551
"OTU_97.5287","OTU_97.57",0.901515151515151
"OTU_97.39171","OTU_97.1201",0.901515151515151
"OTU_97.951","OTU_97.12419",0.901256887052342
"OTU_97.12419","OTU_97.43023",0.901170798898072
"OTU_97.37","OTU_97.6625",0.900998622589532
"OTU_97.34683","OTU_97.35176",0.900568181818182
"OTU_97.43637","OTU_97.43023",0.900568181818182
"OTU_97.14","OTU_97.10385",0.898674242424242
"OTU_97.29803","OTU_97.35176",0.897899449035813
"OTU_97.43637","OTU_97.12419",0.897727272727273
"OTU_97.26883","OTU_97.13522",0.897555096418733
"OTU_97.39171","OTU_97.510",0.897382920110193
"OTU_97.2297","OTU_97.7287",0.895919421487603
"OTU_97.37","OTU_97.34703",0.894886363636364
"OTU_97.32588","OTU_97.37902",0.894455922865014
"OTU_97.40762","OTU_97.14259",0.894197658402204
"OTU_97.24475","OTU_97.38931",0.892992424242424
"OTU_97.6625","OTU_97.16529",0.891787190082645
"OTU_97.34780","OTU_97.39171",0.890495867768595
"OTU_97.14","OTU_97.510",0.890151515151515
"OTU_97.1201","OTU_97.10385",0.890151515151515
"OTU_97.28399","OTU_97.24927",0.889462809917355
"OTU_97.29574","OTU_97.14",0.888774104683196
"OTU_97.144","OTU_97.184",0.888257575757576
"OTU_97.9982","OTU_97.14",0.888257575757576
"OTU_97.24809","OTU_97.34703",0.888171487603306
"OTU_97.34925","OTU_97.20215",0.887999311294766
"OTU_97.39171","OTU_97.10385",0.887310606060606
"OTU_97.24927","OTU_97.7657",0.886880165289256
"OTU_97.5474","OTU_97.10385",0.886880165289256
"OTU_97.16695","OTU_97.28399",0.886363636363636
"OTU_97.43637","OTU_97.15133",0.885072314049587
"OTU_97.37599","OTU_97.39144",0.884900137741047
"OTU_97.86","OTU_97.43213",0.884900137741047
"OTU_97.40762","OTU_97.59",0.884469696969697
"OTU_97.32588","OTU_97.37599",0.883178374655647
"OTU_97.34683","OTU_97.39459",0.883006198347107
"OTU_97.37903","OTU_97.57",0.882747933884298
"OTU_97.16695","OTU_97.7657",0.881628787878788
"OTU_97.25475","OTU_97.734",0.879734848484849
"OTU_97.211","OTU_97.35940",0.879046143250689
"OTU_97.34925","OTU_97.11972",0.878787878787879
"OTU_97.43637","OTU_97.9316",0.877840909090909
"OTU_97.24168","OTU_97.1681",0.87689393939394
"OTU_97.24636","OTU_97.24475",0.87689393939394
"OTU_97.24636","OTU_97.29803",0.87689393939394
"OTU_97.38931","OTU_97.14",0.87689393939394
"OTU_97.34780","OTU_97.14",0.87637741046832
