"taxa1","taxa2","value"
"OTU_97.31553","OTU_97.152",0.933587771655954
"OTU_97.23396","OTU_97.118",0.930966865625957
"OTU_97.24025","OTU_97.154",0.925132001836547
"OTU_97.34683","OTU_97.38931",0.919402356902357
"OTU_97.186","OTU_97.1779",0.918302341597796
"OTU_97.37599","OTU_97.37902",0.915346648301194
"OTU_97.42522","OTU_97.720",0.915327517600245
"OTU_97.266","OTU_97.15337",0.91292661463116
"OTU_97.5474","OTU_97.510",0.911702249770432
"OTU_97.29794","OTU_97.43210",0.910994413835323
"OTU_97.86","OTU_97.16034",0.90976048362412
"OTU_97.401","OTU_97.158",0.909454392408938
"OTU_97.38931","OTU_97.39459",0.906230869299051
"OTU_97.86","OTU_97.13936",0.906211738598102
"OTU_97.6625","OTU_97.16529",0.905140419344965
"OTU_97.34371","OTU_97.13450",0.904308233853688
"OTU_97.5561","OTU_97.57",0.903150826446281
"OTU_97.38818","OTU_97.11972",0.9023951637588
"OTU_97.16034","OTU_97.43213",0.902060376492195
"OTU_97.43425","OTU_97.6433",0.894360269360269
"OTU_97.951","OTU_97.43023",0.893202861952862
"OTU_97.24475","OTU_97.29803",0.891270661157025
"OTU_97.37","OTU_97.12279",0.890811524334252
"OTU_97.15133","OTU_97.43023",0.887903657790021
"OTU_97.37902","OTU_97.39144",0.88775061218243
"OTU_97.32588","OTU_97.37902",0.883666207529844
"OTU_97.9316","OTU_97.951",0.883006198347107
"OTU_97.43213","OTU_97.13936",0.881514003673095
"OTU_97.5287","OTU_97.57",0.880136593204775
"OTU_97.24475","OTU_97.35176",0.876855677992042
"OTU_97.29803","OTU_97.39459",0.876779155188246
"OTU_97.11972","OTU_97.10385",0.874904346495256
"OTU_97.13004","OTU_97.16539",0.874665212733395
"OTU_97.37","OTU_97.36155",0.874559993878176
"OTU_97.40762","OTU_97.14259",0.8741391184573
"OTU_97.37","OTU_97.6625",0.873517370676462
"OTU_97.25475","OTU_97.37368",0.873010407101316
"OTU_97.33220","OTU_97.121",0.872484312825222
"OTU_97.39171","OTU_97.1201",0.87140342822161
"OTU_97.18018","OTU_97.43023",0.871346036118763
"OTU_97.26883","OTU_97.13522",0.869260789715335
"OTU_97.1201","OTU_97.5474",0.86840947352311
"OTU_97.43637","OTU_97.951",0.867089455157637
"OTU_97.37599","OTU_97.39144",0.865377257422712
"OTU_97.43637","OTU_97.43023",0.864439853076217
"OTU_97.34925","OTU_97.20215",0.863225053565963
"OTU_97.38958","OTU_97.34",0.861436333027242
"OTU_97.14","OTU_97.10385",0.8613024181206
"OTU_97.37","OTU_97.34703",0.858212809917355
"OTU_97.43637","OTU_97.18018",0.856031910009183
"OTU_97.28399","OTU_97.7657",0.855515381083563
"OTU_97.32588","OTU_97.39144",0.855075374961739
"OTU_97.33687","OTU_97.37902",0.854778849097031
"OTU_97.14","OTU_97.5474",0.854731022344659
"OTU_97.34683","OTU_97.35176",0.853468396082032
"OTU_97.29803","OTU_97.38931",0.853277089072544
"OTU_97.35176","OTU_97.38931",0.852358815426997
"OTU_97.39171","OTU_97.510",0.850273569023569
"OTU_97.2297","OTU_97.7287",0.850216176920722
"OTU_97.34371","OTU_97.73",0.847930058157331
"OTU_97.86","OTU_97.43213",0.846820477502296
"OTU_97.33687","OTU_97.37599",0.842697811447811
"OTU_97.24475","OTU_97.38931",0.838756887052342
"OTU_97.12279","OTU_97.36155",0.83698729721457
"OTU_97.86","OTU_97.36559",0.836681205999388
"OTU_97.16695","OTU_97.28399",0.836135981022345
"OTU_97.14","OTU_97.510",0.835399449035813
"OTU_97.24809","OTU_97.34703",0.832348102234466
"OTU_97.24636","OTU_97.29803",0.831726354453627
"OTU_97.12419","OTU_97.43023",0.831468089990817
"OTU_97.38818","OTU_97.10385",0.829258494031221
"OTU_97.35176","OTU_97.5474",0.828952402816039
"OTU_97.5474","OTU_97.10385",0.828550658096113
"OTU_97.11641","OTU_97.86",0.828301958983777
"OTU_97.1201","OTU_97.10385",0.82731672788491
