"OTU_ID","CONSENSUS_LINEAGE","SUPERKINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","biological_label"
"OTU_97.3264","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified","Lachnospiraceae"
"OTU_97.255","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.7662","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified","Lachnospiraceae"
"OTU_97.27756","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified","Lachnospiraceae"
"OTU_97.175","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.16633","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.39322","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.331","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.4904","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Lachnospiraceae / Lachnospira"
"OTU_97.346","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Lachnospiraceae / Lachnospira"
"OTU_97.885","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified","Lachnospiraceae"
"OTU_97.384","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified","Lachnospiraceae"
"OTU_97.501","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified","Lachnospiraceae"
"OTU_97.585","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium","Lachnospiraceae / Clostridium"
"OTU_97.213","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium","Lachnospiraceae / Clostridium"
"OTU_97.755","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.772","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified","Lachnospiraceae"
"OTU_97.523","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified","Lachnospiraceae"
