"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"696","9096",1,0,0,0
"14597","6331",1,9,9,9
"3474","9604",1,8,8,8
"12130","26",0.998469543924089,9,9,9
"2906","11575",0.995408631772268,8,7,6
"2012","14044",0.993572084481175,0,0,0
"10590","7420",0.990205081114172,8,8,8
"1661","10784",0.984389348025712,7,7,7
"13295","14044",0.981940618304255,0,0,0
"3825","696",0.980563207835935,2,1,1
"6119","14381",0.980104071013162,0,0,0
"13295","3502",0.979338842975207,0,0,0
"7291","5292",0.97413529231711,0,0,0
"6006","14362",0.964493419038874,8,8,8
"6431","4613",0.957912457912458,6,6,5
"6169","15983",0.956382001836547,4,3,3
"5896","16444",0.951637588001224,0,0,0
"2737","5395",0.950719314355678,2,2,1
"16525","6431",0.94674012855831,8,8,8
"13545","26",0.943985307621671,6,6,6
"14044","14145",0.942148760330578,1,0,0
"2385","11005",0.941536577900214,2,1,0
"4499","12943",0.937404346495256,3,3,3
"11546","15983",0.935567799204163,5,5,4
"16312","12396",0.925925925925926,2,2,1
"13295","2012",0.915518824609734,0,0,0
"283","1661",0.909090909090909,1,1,0
"3494","1661",0.909090909090909,9,9,9
"3470","1661",0.909090909090909,9,9,9
"1661","4206",0.909090909090909,0,0,0
"1661","10038",0.909090909090909,2,1,0
"4206","10038",0.909090909090909,6,4,3
"283","14280",0.909090909090909,0,0,0
"1661","14280",0.909090909090909,0,0,0
"14280","13234",0.909090909090909,1,1,1
"283","13033",0.909090909090909,0,0,0
"1661","13033",0.909090909090909,0,0,0
"14280","13033",0.909090909090909,1,1,0
"13234","13033",0.909090909090909,0,0,0
"13033","2073",0.909090909090909,0,0,0
"283","16525",0.909090909090909,0,0,0
"1661","16525",0.909090909090909,0,0,0
"14280","16525",0.909090909090909,0,0,0
"13033","16525",0.909090909090909,2,1,1
"13033","6431",0.909090909090909,3,1,0
"283","4613",0.909090909090909,0,0,0
"1661","4613",0.909090909090909,0,0,0
"14280","4613",0.909090909090909,6,6,4
"13033","4613",0.909090909090909,7,5,5
