"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"4912","4352",1,0,0,0
"411","4352",1,0,0,0
"153","4352",1,0,0,0
"2425","4352",1,0,0,0
"464","4352",1,0,0,0
"40","4352",1,0,0,0
"3957","4352",1,0,0,0
"4002","4352",1,0,0,0
"5575","4352",1,0,0,0
"1633","4352",1,0,0,0
"2015","4352",1,0,0,0
"4357","4352",1,0,0,0
"3954","4352",1,0,0,0
"5496","4352",1,0,0,0
"4670","4352",1,3,2,2
"1365","4352",1,0,0,0
"2300","4352",1,0,0,0
"381","4352",1,0,0,0
"4813","4352",1,0,0,0
"5563","4352",1,0,0,0
"2780","4352",1,0,0,0
"3977","4352",1,0,0,0
"153","4395",1,0,0,0
"5575","4395",1,0,0,0
"2300","4395",1,5,4,1
"381","4395",1,0,0,0
"5563","4395",1,0,0,0
"4352","4395",1,0,0,0
"3032","4414",0.999540863177227,1,0,0
"3227","5160",0.998316498316498,0,0,0
"3026","3988",0.998316498316498,1,1,0
"1478","5563",0.998316498316498,0,0,0
"720","5563",0.998316498316498,0,0,0
"3147","4414",0.997704315886134,0,0,0
"5414","3988",0.996632996632997,0,0,0
"1571","3071",0.996632996632997,2,2,2
"2906","3246",0.996632996632997,0,0,0
"548","40",0.996632996632997,0,0,0
"1618","4243",0.996632996632997,0,0,0
"720","4243",0.996632996632997,1,1,1
"5273","4776",0.996632996632997,2,1,1
"464","4414",0.996632996632997,0,0,0
"720","2135",0.996632996632997,0,0,0
"3162","1365",0.996632996632997,0,0,0
"1633","4395",0.996632996632997,0,0,0
"2425","2135",0.996479951025406,0,0,0
"5575","1336",0.996020814202632,0,0,0
"3988","2286",0.995102540557086,2,2,1
"5252","464",0.994949494949495,0,0,0
"153","5575",0.994949494949495,0,0,0
"5273","4243",0.994949494949495,0,0,0
"4002","215",0.994949494949495,0,0,0
"5634","44",0.994949494949495,0,0,0
"1478","3071",0.993265993265993,0,0,0
"4608","1596",0.993265993265993,0,0,0
"153","3147",0.993265993265993,0,0,0
"4243","2135",0.993265993265993,0,0,0
"1936","4414",0.992959902050811,0,0,0
"4793","1490",0.991582491582492,0,0,0
"464","4831",0.991582491582492,0,0,0
"5252","4414",0.991582491582492,0,0,0
"2425","5563",0.991582491582492,0,0,0
"1478","3977",0.991582491582492,0,0,0
"5273","4036",0.98989898989899,8,8,8
"2961","411",0.98989898989899,0,0,0
"1618","2425",0.98989898989899,0,0,0
"5252","5563",0.98989898989899,0,0,0
"5313","4352",0.98989898989899,0,0,0
"5160","4395",0.98989898989899,0,0,0
"5252","4831",0.989592898683808,0,0,0
"2015","4414",0.988215488215488,0,0,0
"1571","3162",0.988215488215488,0,0,0
"1571","4060",0.987909397000306,0,0,0
"3032","3954",0.986531986531986,1,0,0
"2286","797",0.986531986531986,0,0,0
"4002","5583",0.986531986531986,3,3,1
