"OTU_ID","degree","strength","betweenness","closeness","eigenvector","pagerank","IVI","prevalence_n","prevalence_fraction","total_abundance","mean_abundance","median_abundance","CONSENSUS_LINEAGE","SUPERKINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","biological_label","important_status"
"OTU_97.29803",6,6,75,0.483870967741935,1,0.0215549252538483,100,131,0.700534759358289,13275,70.9893048128342,11,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.39459",4,4,38,0.405405405405405,0.777390208430421,0.0146092680815182,66.5243016020124,134,0.716577540106952,4083,21.8342245989305,4,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.38931",3,3,14,0.384615384615385,0.69247407179158,0.0110535468022359,42.070319244009,150,0.802139037433155,39430,210.855614973262,38,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.1654",3,3,48,0.365853658536585,0.192223625126082,0.01191962820821,31.1316347808818,93,0.497326203208556,454,2.42780748663102,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub"
"OTU_97.5474",3,3,1,0.8,0,0.0096611310079055,3.78344209254601,84,0.449197860962567,4241,22.6791443850267,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub"
"OTU_97.510",3,3,1,0.8,0,0.00966113100789723,3.78344209254601,90,0.481283422459893,3028,16.192513368984,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub"
"OTU_97.1201",3,3,3,0.8,0,0.0101532926106208,3.76942117370581,69,0.368983957219251,983,5.25668449197861,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub"
"OTU_97.11641",3,3,5,0.714285714285714,4.0520909540812e-17,0.0117325741474475,2.71073580034423,77,0.411764705882353,636,3.40106951871658,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Porphyromonadaceae / Parabacteroides","Hub"
"OTU_97.16034",3,3,5,0.714285714285714,1.07299414834036e-16,0.0117325741474433,2.71073580034423,86,0.459893048128342,1712,9.15508021390374,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Porphyromonadaceae / Parabacteroides","Hub"
"OTU_97.12279",3,3,2,1,4.06399511698664e-16,0.0118063860646897,2.64820270091354,140,0.748663101604278,2547,13.620320855615,5,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub"
"OTU_97.18018",3,3,5,0.8,8.85931190825034e-16,0.0143886429503349,1.89626638421819,70,0.374331550802139,589,3.14973262032086,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub"
